AK,AK: ALASKA
AL,AL: ALABAMA
AR,AR: ARKANSAS
AS,AS: PAGO PAGO
AZ,AZ: ARIZONA
CA,CA: CALIFORNIA
CO,CO: COLORADO
CT,CT: CONNECTICUT
DC,DC: DISTRICT OF COLUMBIA
DE,DE: DELAWARE
FL,FL: FLORIDA
GA,GA: GEORGIA
GU,GU: GUAM
HI,HI: HAWAII
IA,IA: IOWA
ID,ID: IDAHO
IL,IL: ILLINOIS
IN,IN: INDIANA
KS,KS: KANSAS
KY,KY: KENTUCKY
LA,LA: LOUISIANA
MA,MA: MASSACHUSETTS
MD,MD: MARYLAND
ME,ME: MAINE
MI,MI: MICHIGAN
MN,MN: MINNESOTA
MO,MO: MISSOURI
MP,MP: SAIPAN MARIANA ISLANDS
MS,MS: MISSISSIPPI
MT,MT: MONTANA
NA,NA: FOREIGN COUNTRY
NC,NC: NORTH CAROLINA
ND,ND: NORTH DAKOTA
NE,NE: NEBRASKA
NH,NH: NEW HAMPSHIRE
NJ,NJ: NEW JERSEY
NM,NM: NEW MEXICO
NV,NV: NEVADA
NY,NY: NEW YORK
OH,OH: OHIO
OK,OK: OKLAHOMA
OR,OR: OREGON
PA,PA: PENNSYLVANIA
PR,PR: PUERTO RICO
RI,RI: RHODE ISLAND
SC,SC: SOUTH CAROLINA
SD,SD: SOUTH DAKOTA
TN,TN: TENNESSEE
TX,TX: TEXAS
UT,UT: UTAH
VA,VA: VIRGINIA
VI,VI: VIRGIN ISLANDS
VT,VT: VERMONT
WA,WA: WASHINGTON
WI,WI: WISCONSIN
WV,WV: WEST VIRGINIA
WY,WY: WYOMING
ZZ,ZZ: UNKNOWN
