0,0: 0 
5,5: 5 
7,7: 7 
8,8: 8 
12,12: 12 
13,13: 13 
14,14: 14 
15,15: 15 
16,16: 16 
17,17: 17 
18,18: 18 
21,21: 21 
22,22: 22 
27,27: 27 
35,35: 35 
37,37: 37 
38,38: 38 
39,39: 39 
40,40: 40 
41,41: 41 
42,42: 42 
44,44: 44 
45,45: 45 
46,46: 46 
47,47: 47 
48,48: 48 
49,49: 49 
50,50: 50 
51,51: 51 
52,52: 52 
53,53: 53 
54,54: 54 
55,55: 55 
56,56: 56 
57,57: 57 
58,58: 58 
59,59: 59 
60,60: 60 
61,61: 61 
62,62: 62 
63,63: 63 
64,64: 64 
65,65: 65 
67,67: 67 
70,70: 70 
71,71: 71 
72,72: 72 
73,73: 73 
75,75: 75 
76,76: 76 
77,77: 77 
78,78: 78 
81,81: 81 
82,82: 82 
97,97: Unknown 
98,98: No second antigen detected 
99,99: Not Tested 
702,702: 0702 
703,703: 703 
801,801: 0801 
802,802: 0802 
803,803: 0803 
804,804: 0804 
1301,1301: 1301 
1302,1302: 1302 
1304,1304: 1304 
1401,1401: 1401 
1402,1402: 1402 
1501,1501: 1501 
1502,1502: 1502 
1503,1503: 1503 
1510,1510: 1510 
1511,1511: 1511 
1512,1512: 1512 
1513,1513: 1513 
1516,1516: 1516 
1517,1517: 1517 
1522,1522: 1522 
2705,2705: 2705 
2708,2708: 2708 
3901,3901: 3901 
3902,3902: 3902 
3905,3905: 3905 
3913,3913: 3913 
4001,4001: 4001 
4002,4002: 4002 
4005,4005: 4005 
4006,4006: 4006 
4402,4402: 4402 
4403,4403: 4403 
4415,4415: 4415 
5101,5101: 5101 
5102,5102: 5102 
5103,5103: 5103 
5701,5701: 5701 
5703,5703: 5703 
7801,7801: 7801 
8201,8201: 8201 
