998,998: UNKNOWN 
999,999: OTHER SPECIFY 
2000,2000: GRAFT FAILURE: PRIMARY FAILURE 
2001,2001: GRAFT FAILURE: REJECTION- HYPERACUTE 
2002,2002: GRAFT FAILURE: REJECTION- ACUTE 
2003,2003: GRAFT FAILURE: REJECTION- CHRONIC 
2004,2004: GRAFT FAILURE: TECHNICAL 
2005,2005: GRAFT FAILURE: GRAFT INFECTION 
2006,2006: GRAFT FAILURE: RECURRENT DISEASE 
2099,2099: GRAFT FAILURE: NON-SPECIFIC 
2100,2100: INFECTION: BACTERIAL SEPTICEMIA 
2101,2101: INFECTION: BACTERIAL PNEUMONIA 
2109,2109: INFECTION: BACTERIAL- OTHER SPECIFY 
2110,2110: INFECTION: VIRAL- CYTOMEGALOVIRUS (CMV) 
2111,2111: INFECTION: VIRAL- HEPATITIS 
2112,2112: INFECTION: VIRAL-SEPTICEMIA 
2119,2119: INFECTION: VIRAL- OTHER SPECIFY 
2120,2120: INFECTION: FUNGAL- ASPERGILLUS 
2129,2129: INFECTION: FUNGAL- OTHER SPECIFY 
2130,2130: INFECTION: PROTOZOAL 
2198,2198: INFECTION: MIXED OTHER SPECIFY 
2199,2199: INFECTION: OTHER SPECIFY 
2200,2200: CARDIOVASCULAR: MYOCARDIAL INFARCTION 
2201,2201: CARDIOVASCULAR: CARDIAC ARREST 
2202,2202: CARDIOVASCULAR: ARTERIAL EMBOLISM 
2203,2203: CARDIOVASCULAR: VENTRICULAR FAILURE 
2204,2204: CARDIOVASCULAR: CORONARY ARTERY DISEASE 
2205,2205: CARDIOVASCULAR: ATHEROSCLEROSIS 
2206,2206: CARDIOVASCULAR: RHYTHM DISORDER 
2207,2207: CARDIOVASCULAR: CARDITIS 
2208,2208: CARDIOVASCULAR: AORTIC ANEURYSM 
2209,2209: CARDIOVASCULAR: CARDIOGENIC SHOCK 
2299,2299: CARDIOVASCULAR: OTHER SPECIFY 
2300,2300: PULM: DEHISCENCE 
2301,2301: PULM: BRONCHIOLITIS 
2302,2302: PULM: PRIMARY PULMONARY HYPERTENSION 
2303,2303: PULM: PULMONARY EMBOLISM 
2304,2304: PULM: RESPIRATORY FAILURE 
2305,2305: PULM: ACUTE RESPIRATORY DISTRESS DISEASE 
2399,2399: PULM: OTHER SPECIFY 
2400,2400: CEREBROVASCULAR: STROKE 
2401,2401: CEREBROVASCULAR: HEMORRHAGE (NON-STROKE) 
2402,2402: CEREBROVASCULAR: BRAIN ANOXIA 
2403,2403: CEREBROVASCULAR: DEGENERATIVE BRAIN DISEASE 
2499,2499: CEREBROVASCULAR: OTHER SPECIFY 
2500,2500: HEMORRHAGE: GASTROINTESTINAL 
2501,2501: HEMORRHAGE: INTRAOPERATIVE 
2502,2502: HEMORRHAGE: DISSEMINATED INTRAVAS COAGULATION 
2503,2503: HEMORRHAGE: POST-OPERATIVE 
2504,2504: HEMORRHAGE: RESPIRATORY 
2599,2599: HEMORRHAGE: OTHER SPECIFY 
2600,2600: MALIG: METASTATIC OTHER SPECIFY 
2601,2601: MALIG: PRIMARY OTHER SPECIFY 
2602,2602: MALIG: POST-TX LYMPHOPROLIFERATIVE DISORDER 
2603,2603: MALIG: LYMPHOMA 
2604,2604: MALIG: SKIN 
2699,2699: MALIG: OTHER SPECIFY 
2700,2700: DIABETES MELLITUS 
2701,2701: INTRAOP: NOT HEMORRHAGE - OTHER SPECIFY 
2702,2702: PANCREATITIS 
2703,2703: RENAL FAILURE 
2704,2704: LIVER FAILURE 
2705,2705: MULTIPLE ORGAN FAILURE 
2706,2706: FLUID/ELECTROLYTE DISORDER 
2707,2707: ACID/BASE DISORDER 
2708,2708: AMYLOIDOSIS 
2709,2709: HEMATOLOGIC OTHER SPECIFY 
2710,2710: IMMUNOSUPPRESSIVE DRUG RELATED - HEMATOLOGIC 
2711,2711: IMMUNOSUPPRESSIVE DRUG RELATED - NON-HEMATOLOGIC 
2712,2712: NON-IMMUNO DRUG RELATED - HEMATOLOGIC 
2713,"2713: NON-IMMUNO - NON-HEMATOLOGIC, SPECIFY DRUG "
2800,2800: MOTOR VEHICLE ACCIDENT 
2801,2801: SUICIDE 
2802,2802: NON-COMPLIANCE 
2803,2803: TRAUMA OTHER SPECIFY
