DONOR_ID,num,8,,Encrypted Unique Donor ID (all donors) - foreign key
DON_A1,num,8,ALOCUS,Donor/s HLA - A (1) antigen
DON_A2,num,8,ALOCUS,Donor/s HLA - A (2) antigen
DON_ABNORM_CONGEN,char,1,,Structural Abnormalities //Congenital:
DON_ABNORM_LVH,char,1,,Structural Abnormalities //LVH:
DON_ABNORM_VALVES,char,1,,Structural Abnormalities //Valves:
DON_ABO,char,3,$ABO,Donor/s Blood Type
DON_AGE,num,8,,Calculated Donor Age in Years at Organ Recovery or Referral Date
DON_AGE_IN_MONTHS,num,8,,Donor/s Age in Months
DON_ALLOC_ECD_CVA,num,3,,CVA cause of death
DON_ALLOC_ECD_HYPERTEN,num,3,,history of hypertension
DON_ALLOC_ECD_SERUM_CREAT,num,8,,most recent serum_creat
DON_ALLOC_ECD_SERUM_CREAT_DT,num,8,MMDDYY,most recent serum_creat date
DON_ALLOC_REMAIN_LI_SEG,char,1,,Allocate Remaining Liver Segment?
DON_ANTI_CMV,char,2,$SRLSTT,Anti-CMV
DON_ANTI_CONVULS,char,1,,Meds given Donor: Anticonvulsants
DON_ANTI_HBC,char,2,$SRLSTT,Anti-HBC
DON_ANTI_HCV,char,2,$SRLSTT,Anti-HCV
DON_ANTI_HIV,char,2,$SRLSTT,Anti-HIV I/II:
DON_ANTI_HTLV,char,2,$SRLSTT,Anti-HTLV I/II:
DON_ANTI_HYPERTEN,char,1,,Meds given Donor: Antihypertensives
DON_ARGININE,char,1,,Arginine Vasopressin:
DON_B1,num,8,BLOCUS,Donor/s HLA - B (1) antigen
DON_B2,num,8,BLOCUS,Donor/s HLA - B (2) antigen
DON_BIOPSY_DGN,num,8,BPMYCR,Biopsy
DON_BRAIN_DEATH_TM,num,8,TIME,Time of pronouncement of death: (Complete for brain dead and DCD donors)
DON_BUN,num,8,,BUN
DON_BW4,num,8,WKGRPHLA,Donor/s HLA - Bw4 locus
DON_BW6,num,8,WKGRPHLA,Donor/s HLA - Bw6 locus
DON_C1,num,8,CWHLA,Donor/s HLA - Cw (1) locus
DON_C2,num,8,CWHLA,Donor/s HLA - Cw (2) locus
DON_CAD_DON_COD,num,8,DONCOD,Donor/s Cause of Death
DON_CANCER_FREE_INTERVAL,num,8,,Cancer Free Interval
DON_CANCER_OTHER_OSTXT,char,50,,History of Cancer/Specify
DON_CARDIAC_ARREST_AFTER_DEATH,char,1,,Cardiac Arr. Since Event that led to Decl of Death
DON_CHAGAS_NAT,char,2,,Donor RNA Nat serology value for Chagas test
DON_CHEST_XRAY,num,8,LUCHSTXR,Chest X-ray:
DON_CITIZENSHIP,num,8,CITIZEN,Donor/s Citizenship
DON_CI_FINAL,num,8,,Cardiac Index (final) //Cardiac Index:
DON_CI_INIT,num,8,,Cardiac Index (initial) //Cardiac Index: (L/min/sq.m)
DON_CLAMP_DT,num,8,MMDDYY,Clamp Date
DON_CLAMP_TM,num,8,TIME,Clamp Time
DON_CLAMP_TM_ZONE,num,8,TIMEZONE,Clamp Time Zone
DON_CLINICAL_INFECT,char,1,,Clinical Infection
DON_COD_DON_STROKE,num,3,,"Donor cause of death is stroke (1= yes, 0= no)"
DON_COLD_ISCH_TM_ARRIV_KI,num,8,,Cold Ischemic Time upon arrival for Kidney in hours
DON_CONSENT_ATTORNEY,num,3,,Consent Mechanism - Attorney in Fact
DON_CONSENT_DON_CARD,num,3,,Consent Mechanism - Donor Card
DON_CONSENT_DON_REGIS,num,3,,Consent Mechanism - Donor Registry
DON_CONSENT_DRIVER_LICENSE,num,3,,Consent Mechanism - Driver/s License
DON_CONSENT_PX_WRIT_DOC,char,1,,Patient Consented in Writing
DON_CONSENT_TM,num,8,TIME,Time consent obtained for first organ:
DON_CONSENT_WRIT_DOC_INTENT,char,1,,Did the patient have written documentation of their intent to be a donor:
DON_CONT_ALCOHOL,char,1,,Alcohol Dependency Last 6 Months
DON_CONT_CIGARETTE,char,1,,Donor/s Continued Use in Last 6 Months
DON_CONT_COCAINE,char,1,,Cocaine Use Last 6 Months
DON_CONT_IV_DRUG,char,1,,IV Drug Last 6 Months
DON_CONT_OTHER_DRUG,char,1,,Other Drug Abuse Last 6 Months
DON_CORONARY_ANGIO,num,8,CRNRYANG,Coronary Angiogram
DON_CO_FINAL,num,8,,CO (final) (L/min) //CO:
DON_CO_INIT,num,8,,CO (initial) (L/min) //CO: (L/min)
DON_CREAT,num,8,,Serum Creatinine
DON_CREG_DON_FLG,num,3,,Is this a CREG Donor?
DON_CVP_FINAL,num,8,,CVP (final) //CVP:
DON_CVP_INIT,num,8,,CVP (initial) //CVP: (mm/Hg)
DON_DCD_ABDOM_AORTA_CANNUL_DT,num,8,MMDDYY,"If DCD, Date of abdominal aorta cannulation:"
DON_DCD_ABDOM_AORTA_CANNUL_TM,num,8,TIME,"If DCD, Time of abdominal aorta cannulation:"
DON_DCD_AGONAL_BEGIN_DT,num,8,MMDDYY,"If DCD, Date agonal phase begins"
DON_DCD_AGONAL_BEGIN_TM,num,8,TIME,"If DCD, Time agonal phase begins"
DON_DCD_PORTAL_VEIN_CANNUL_DT,num,8,MMDDYY,"If DCD, Date of portal vein cannulation:"
DON_DCD_PORTAL_VEIN_CANNUL_TM,num,8,TIME,"If DCD, Time of portal vein cannulation:"
DON_DCD_PROGRESS_TO_BRAIN_DEATH,char,1,,"If not DCD, Was this a consented DCD donor that progressed to brain death?"
DON_DCD_PULM_ART_CANNUL_DT,num,8,MMDDYY,"If DCD, Date of pulmonary artery cannulation:"
DON_DCD_PULM_ART_CANNUL_TM,num,8,TIME,"If DCD, Time of pulmonary artery cannulation:"
DON_DCD_SUPPORT_WITHDRAW_DT,num,8,MMDDYY,"If DCD, Date of withdrawal of support"
